㐀	21{卢字头}1
㐁	1囗人
㐂	七七七
㐃	542
㐄	㐄
㐅	㐅
㐆	㐆
㐇	九6
㐈	入6
㐉	丁6
㐊	士6
㐋	土6
㐌	{卧人}也
㐍	爫6
㐎	文6
㐏	五6
㐐	女又6
㐑	夂{冬字底}6
㐒	刀口6
㐓	可6
㐔	亠口6
㐕	由6
㐖	士口5
㐗	老6
㐘	米6
㐙	豆6
㐚	五口6
㐛	亻{左字框}口6
㐜	1氺4九
㐝	扌句6
㐞	{其字头无横}{共字底}6
㐟	非6
㐠	爫子56
㐡	九而大
㐢	氵爫子6
㐣	广車6
㐤	九十{具字头无横}{共字底}
㐥	金且力6
㐦	{臼裂}156
㐧	4523
㐨	予予
㐩	井井
㐪	亠䶹4
㐫	亠乂凵
㐬	{充字头}{荒字底}
㐭	亠囗口
㐮	六{寒字腰无横}1{衣省}
㐯	亠口口日
㐰	亻口
㐱	{全字头}彡
㐲	亻大
㐳	亻1{见字底}
㐴	亻夕
㐵	亻1{于无横}
㐶	亻巳
㐷	亻马
㐸	亻欠
㐹	亻气
㐺	亻亻人
㐻	亻冂人
㐼	亻3廾
㐽	亻{风省}乂
㐾	亻二{见字底}
㐿	亻手
㑀	亻大4
㑁	亻屮凵
㑂	亻1冂人
㑃	亻幺力
㑄	亻母
㑅	亻{卧人}{卢字头}1
㑆	亻口儿
㑇	亻{负字头}彐
㑈	亻{东二}小
㑉	亻{风省}歹
㑊	亻亠{亦字底}
㑋	亻曲
㑌	亻匚王
㑍	亻耒
㑎	亻巛山
㑏	亻宀寸
㑐	亻{卢字头}1小
㑑	亻自
㑒	亼口人
㑓	亻厶{左字框}又
㑔	亻页
㑕	亻山夕
㑖	亻亻口2
㑗	亻身
㑘	亻戈廾
㑙	亻耳5
㑚	亻5{夫三}阝
㑛	亻束
㑜	亻扌斤
㑝	亻王廾
㑞	亻火廾
㑟	亻{丘无横}{共字底}
㑠	亻{临字旁}又土
㑡	亻{即字旁}卩
㑢	亻土厶卩
㑣	亻木木
㑤	亻艹田
㑥	亻日勹{横两撇}
㑦	亻户犬
㑧	亻禾子
㑨	亻口矢
㑩	亻罒夕
㑪	亻齐二
㑫	亻亽5心
㑬	亻女古
㑭	亻田丌
㑮	亻冖車
㑯	亻頁
㑰	亻彑{豕省}
㑱	亻予3木
㑲	亻十冂{南字心}
㑳	亻勹䶹䶹
㑴	亻彐冖又
㑵	亻疒矢
㑶	亻气米
㑷	亻厶{青字底}匕
㑸	亻古可
㑹	亼由日
㑺	亻隹乃
㑻	亻宀心山
㑼	亻田各
㑽	亻{尚头}土
㑾	亻{然左角}言
㑿	亻巛田木
㒀	亻{立无横}冂古
㒁	亻囗土{南字心}
㒂	亻艹耂日
㒃	亻弋二貝
㒄	亻{然左角}犬灬
㒅	亻{衣框}夕夕
㒆	亻亼口羽
㒇	亻{卧人}卌灬
㒈	亻5耳攵
㒉	亻{尚头}木
㒊	亻刀4止
㒋	亻{其字头无横}{共字底}斤
㒌	亻火火几
㒍	亻厶厶糸
㒎	亻1大非
㒏	亻宀{寒字腰无横}{冬字底}
㒐	亻{竹头}勹日
㒑	亻匚氵隹
㒒	亻业䒑未
㒓	亻土羊辶
㒔	亻罒勹虫
㒕	亻亠乡隹
㒖	亻艹田{禺下}
㒗	亻{其字头无横}冖至
㒘	亻臣又立
㒙	亻糹白巾
㒚	亻爫工心
㒛	亻羽隹
㒜	亻{臼裂}1八
㒝	亻艹罒4
㒞	亻山隹冂
㒟	亻{衣框}馬
㒠	亻歺又1
㒡	亻爫缶糸
㒢	亻侖口口
㒣	亻广亻心
㒤	亻耳耳耳
㒥	亻山丰豆
㒦	亻田田土
㒧	亻亠乂隹
㒨	亻{臼裂}3巳
㒩	亻彑{豕省}虫
㒪	{全字头}臣臣豕
㒫	三2儿
㒬	二{见字底}王
㒭	口儿口儿
㒮	二{见字底}豕
㒯	光艹干龷
㒰	入工
㒱	入夕
㒲	入日
㒳	冂2入入
㒴	入屮凵
㒵	白八
㒶	八白
㒷	{见二}人1八
㒸	䒑{豕省}
㒹	十{具字头无横}{共字底}{共字底}
㒺	冂䒑亾
