㐀	[{竖类}{横类}{卢字头}{横类},qiū,CJK-A]
㐁	[{横类}囗人,tiàn,CJK-A]
㐂	[七七七,0,CJK-A]
㐃	[{折类}{捺、点类}{竖类},0,CJK-A]
㐄	[㐄,kuà,CJK-A]
㐅	[㐅,wǔ,CJK-A]
㐆	[㐆,yǐn,CJK-A]
㐇	[九乙,0,CJK-A]
㐈	[入乙,0,CJK-A]
㐉	[丁乙,0,CJK-A]
㐊	[士乙,0,CJK-A]
㐋	[土乙,0,CJK-A]
㐌	[{卧人}也,yí,CJK-A]
㐍	[爫乙,0,CJK-A]
㐎	[文乙,0,CJK-A]
㐏	[五乙,0,CJK-A]
㐐	[女又乙,0,CJK-A]
㐑	[夂{冬字底}乙,0,CJK-A]
㐒	[刀口乙,0,CJK-A]
㐓	[可乙,0,CJK-A]
㐔	[亠口乙,0,CJK-A]
㐕	[由乙,0,CJK-A]
㐖	[士口{折类},xié,CJK-A]
㐗	[老乙,0,CJK-A]
㐘	[米乙,0,CJK-A]
㐙	[豆乙,0,CJK-A]
㐚	[五口乙,0,CJK-A]
㐛	[亻{左字框}口乙,0,CJK-A]
㐜	[{横类}氺{捺、点类}九,chóu,CJK-A]
㐝	[扌句乙,0,CJK-A]
㐞	[{其字头无横}{共字底}乙,0,CJK-A]
㐟	[非乙,0,CJK-A]
㐠	[爫子{折类}乙,0,CJK-A]
㐡	[九而大,nuò,CJK-A]
㐢	[氵爫子乙,0,CJK-A]
㐣	[广車乙,0,CJK-A]
㐤	[九十{具字头无横}{共字底},dān_qiú,CJK-A]
㐥	[金且力乙,0,CJK-A]
㐦	[{臼裂}{横类}{折类}乙,0,CJK-A]
㐧	[{捺、点类}{折类}{竖类}{撇类},0,CJK-A]
㐨	[予予,xù,CJK-A]
㐩	[井井,xíng,CJK-A]
㐪	[亠䶹{捺、点类},0,CJK-A]
㐫	[亠乂凵,xiōng,CJK-A]
㐬	[{充字头}{荒字底},liú,CJK-A]
㐭	[亠囗口,lǐn,CJK-A]
㐮	[六{寒字腰无横}{横类}{衣省},xiāng,CJK-A]
㐯	[亠口口日,yōng,CJK-A]
㐰	[亻口,xìn,CJK-A]
㐱	[{全字头}彡,zhěn,CJK-A]
㐲	[亻大,dài,CJK-A]
㐳	[亻{横类}{见字底},wù,CJK-A]
㐴	[亻夕,pān,CJK-A]
㐵	[亻{横类}{于无横},rú,CJK-A]
㐶	[亻巳,0,CJK-A]
㐷	[亻马,mǎ,CJK-A]
㐸	[亻欠,qiàn_cì,CJK-A]
㐹	[亻气,yì,CJK-A]
㐺	[亻亻人,yín_zhòng,CJK-A]
㐻	[亻冂人,nèi,CJK-A]
㐼	[亻{撇类}廾,chèng,CJK-A]
㐽	[亻{风省}乂,fēng,CJK-A]
㐾	[亻二{见字底},0,CJK-A]
㐿	[亻手,0,CJK-A]
㑀	[亻大{捺、点类},0,CJK-A]
㑁	[亻屮凵,zhuō,CJK-A]
㑂	[亻{横类}冂人,fǎng,CJK-A]
㑃	[亻幺力,ǎo,CJK-A]
㑄	[亻母,wǔ,CJK-A]
㑅	[亻{卧人}{卢字头}{横类},zuò,CJK-A]
㑆	[亻口儿,0,CJK-A]
㑇	[亻{负字头}彐,zhòu,CJK-A]
㑈	[亻{东二}小,dòng,CJK-A]
㑉	[亻{风省}歹,sù,CJK-A]
㑊	[亻亠{亦字底},yì,CJK-A]
㑋	[亻曲,qióng,CJK-A]
㑌	[亻匚王,kuāng_wāng,CJK-A]
㑍	[亻耒,lèi,CJK-A]
㑎	[亻巛山,nǎo,CJK-A]
㑏	[亻宀寸,zhù,CJK-A]
㑐	[亻{卢字头}{横类}小,shū,CJK-A]
㑑	[亻自,0,CJK-A]
㑒	[亼口人,0,CJK-A]
㑓	[亻厶{左字框}又,0,CJK-A]
㑔	[亻页,xǔ,CJK-A]
㑕	[亻山夕,0,CJK-A]
㑖	[亻亻口{竖类},0,CJK-A]
㑗	[亻身,shēn,CJK-A]
㑘	[亻戈廾,jiè,CJK-A]
㑙	[亻耳{折类},dié,CJK-A]
㑚	[亻{折类}{夫三}阝,nuó,CJK-A]
㑛	[亻束,sù,CJK-A]
㑜	[亻扌斤,yì_chì,CJK-A]
㑝	[亻王廾,lòng,CJK-A]
㑞	[亻火廾,yìng,CJK-A]
㑟	[亻{丘无横}{共字底},běng,CJK-A]
㑠	[亻{临字旁}又土,0,CJK-A]
㑡	[亻{即字旁}卩,0,CJK-A]
㑢	[亻土厶卩,0,CJK-A]
㑣	[亻木木,lán,CJK-A]
㑤	[亻艹田,miáo,CJK-A]
㑥	[亻日勹{横两撇},yì,CJK-A]
㑦	[亻户犬,lì,CJK-A]
㑧	[亻禾子,jì,CJK-A]
㑨	[亻口矢,yǔ,CJK-A]
㑩	[亻罒夕,luó,CJK-A]
㑪	[亻齐二,chái,CJK-A]
㑫	[亻亽{折类}心,0,CJK-A]
㑬	[亻女古,0,CJK-A]
㑭	[亻田丌,0,CJK-A]
㑮	[亻冖車,hún,CJK-A]
㑯	[亻頁,xǔ,CJK-A]
㑰	[亻彑{豕省},huì,CJK-A]
㑱	[亻予{撇类}木,rǎo,CJK-A]
㑲	[亻十冂{南字心},0,CJK-A]
㑳	[亻勹䶹䶹,zhòu_zhū,CJK-A]
㑴	[亻彐冖又,0,CJK-A]
㑵	[亻疒矢,hàn,CJK-A]
㑶	[亻气米,xì,CJK-A]
㑷	[亻厶{青字底}匕,tài,CJK-A]
㑸	[亻古可,yáo,CJK-A]
㑹	[亼由日,huì,CJK-A]
㑺	[亻隹乃,jùn,CJK-A]
㑻	[亻宀心山,mà,CJK-A]
㑼	[亻田各,lüè,CJK-A]
㑽	[亻{尚头}土,táng,CJK-A]
㑾	[亻{然左角}言,yáo,CJK-A]
㑿	[亻巛田木,zhào,CJK-A]
㒀	[亻{立无横}冂古,zhāi_zhǎ,CJK-A]
㒁	[亻囗土{南字心},yǔ,CJK-A]
㒂	[亻艹耂日,zhuó,CJK-A]
㒃	[亻弋二貝,èr,CJK-A]
㒄	[亻{然左角}犬灬,rǎn,CJK-A]
㒅	[亻{衣框}夕夕,qǐ,CJK-A]
㒆	[亻亼口羽,chì,CJK-A]
㒇	[亻{卧人}卌灬,wǔ,CJK-A]
㒈	[亻{折类}耳攵,hàn,CJK-A]
㒉	[亻{尚头}木,tǎng,CJK-A]
㒊	[亻刀{捺、点类}止,sè,CJK-A]
㒋	[亻{其字头无横}{共字底}斤,sī,CJK-A]
㒌	[亻火火几,qióng,CJK-A]
㒍	[亻厶厶糸,léi,CJK-A]
㒎	[亻{横类}大非,sà,CJK-A]
㒏	[亻宀{寒字腰无横}{冬字底},0,CJK-A]
㒐	[亻{竹头}勹日,0,CJK-A]
㒑	[亻匚氵隹,kuǐ_huì,CJK-A]
㒒	[亻业䒑未,pú,CJK-A]
㒓	[亻土羊辶,tà,CJK-A]
㒔	[亻罒勹虫,shú_dú_tù,CJK-A]
㒕	[亻亠乡隹,yāng,CJK-A]
㒖	[亻艹田{禺下},ǒu,CJK-A]
㒗	[亻{其字头无横}冖至,tái,CJK-A]
㒘	[亻臣又立,0,CJK-A]
㒙	[亻糹白巾,mián,CJK-A]
㒚	[亻爫工心,yìn_wěn,CJK-A]
㒛	[亻羽隹,diào,CJK-A]
㒜	[亻{臼裂}{横类}八,yǔ,CJK-A]
㒝	[亻艹罒{捺、点类},miè_wà,CJK-A]
㒞	[亻山隹冂,jùn,CJK-A]
㒟	[亻{衣框}馬,niǎo,CJK-A]
㒠	[亻歺又{横类},xiè,CJK-A]
㒡	[亻爫缶糸,yóu,CJK-A]
㒢	[亻侖口口,0,CJK-A]
㒣	[亻广亻心,0,CJK-A]
㒤	[亻耳耳耳,chè,CJK-A]
㒥	[亻山丰豆,fēng,CJK-A]
㒦	[亻田田土,lěi_lèi,CJK-A]
㒧	[亻亠乂隹,lì,CJK-A]
㒨	[亻{臼裂}{撇类}巳,0,CJK-A]
㒩	[亻彑{豕省}虫,luǒ,CJK-A]
㒪	[{全字头}臣臣豕,0,CJK-A]
㒫	[三{竖类}儿,jì,CJK-A]
㒬	[二{见字底}王,0,CJK-A]
㒭	[口儿口儿,0,CJK-A]
㒮	[二{见字底}豕,0,CJK-A]
㒯	[光艹干龷,0,CJK-A]
㒰	[入工,quán,CJK-A]
㒱	[入夕,0,CJK-A]
㒲	[入日,cái,CJK-A]
㒳	[冂{竖类}入入,liǎng,CJK-A]
㒴	[入屮凵,gǔ,CJK-A]
㒵	[白八,mào,CJK-A]
㒶	[八白,0,CJK-A]
㒷	[{见二}人{横类}八,guǎ,CJK-A]
㒸	[䒑{豕省},suì,CJK-A]
㒹	[十{具字头无横}{共字底}{共字底},0,CJK-A]
㒺	[冂䒑亾,0,CJK-A]
㒻	[{冒字头}見,mào,CJK-A]
㒼	[廿巾入入,mán,CJK-A]
㒽	[{冒字头}丷夫㔾,quān,CJK-A]
㒾	[{冒字头}方{卧人}也,shì,CJK-A]
㒿	[{冒字头}亠乂隹,lí,CJK-A]
㓀	[冖卜,0,CJK-A]
㓁	[冖八,wǎng,CJK-A]
㓂	[冖二{见字底}女,kòu,CJK-A]
㓃	[冖言{撇类}七,dù,CJK-A]
㓄	[厶厶厶{见字底},zhèn,CJK-A]
㓅	[冫丁,tīng,CJK-A]
㓆	[冫仑,0,CJK-A]
㓇	[冫{撇类}大,0,CJK-A]
㓈	[冫石,bìng,CJK-A]
㓉	[冫舌,huò,CJK-A]
㓊	[冫冂{横类}口,dòng,CJK-A]
㓋	[冫龷八,gòng,CJK-A]
㓌	[冫{全字头}王,chēng,CJK-A]
㓍	[冫{充字头}儿,0,CJK-A]
㓎	[冫彐冖又,qīn_qìn_qǐn,CJK-A]
㓏	[冫冂八口,jiǒng,CJK-A]
㓐	[冫土八土,lù,CJK-A]
㓑	[冫土{南字心},xìng,CJK-A]
㓒	[冫七{全字头}{恭字底},0,CJK-A]
㓓	[冫十冂{南字心},nán,CJK-A]
㓔	[冫身寸,xiè,CJK-A]
㓕	[冫戊{横类}火,0,CJK-A]
㓖	[冫日龷十,bì,CJK-A]
㓗	[冫丰刀糸,jié,CJK-A]
㓘	[{风省}歹王{捺、点类},sù,CJK-A]
㓙	[文凵,0,CJK-A]
㓚	[工刂,gōng,CJK-A]
㓛	[工刀,0,CJK-A]
㓜	[幺刀,yòu,CJK-A]
㓝	[井刂,xíng,CJK-A]
㓞	[丰刀,qià,CJK-A]
㓟	[皮刂,pí,CJK-A]
㓠	[{卢字头}口刂,diàn_diǎn,CJK-A]
㓡	[缶刂,fǔ_guā,CJK-A]
㓢	[各刂,luò,CJK-A]
㓣	[亼口刂,qià_gē,CJK-A]
㓤	[士口刂,qià,CJK-A]
㓥	[{尚字头}彐刂,tāng,CJK-A]
㓦	[{横类}白刂,bāi,CJK-A]
㓧	[亽{折类}口刂,gān,CJK-A]
㓨	[大人人刂,cí,CJK-A]
㓩	[{负字头}用刂,xuān_jiē,CJK-A]
㓪	[{捺、点类}{即字旁}刀,lǎng,CJK-A]
㓫	[大{横类}廾刂,0,CJK-A]
㓬	[丷夫刀刂,0,CJK-A]
㓭	[日勹亾刂,shé,CJK-A]
㓮	[{周字框}土口刂,diāo,CJK-A]
㓯	[巛田刂,lí,CJK-A]
㓰	[{横类}由凵刂,huà,CJK-A]
㓱	[亼{青字底}刂刂,tóu_shū,CJK-A]
㓲	[户{扁字心}刂,piān,CJK-A]
㓳	[日{定字底}刂,dī,CJK-A]
㓴	[而大刂,ruǎn,CJK-A]
㓵	[吅二{折类}刂,è,CJK-A]
㓶	[丰刀大刂,qiè,CJK-A]
㓷	[自木刂,yì,CJK-A]
㓸	[{折类}{折类}二刂,zhuō_dōu,CJK-A]
㓹	[厂火火刂,ruì_cuì_jì,CJK-A]
㓺	[虍文刂,jiān_qián,CJK-A]
㓻	[罒{横类}{止变}刂,0,CJK-A]
㓼	[木{全字头}氺刂,chì,CJK-A]
㓽	[山宀示刂,chóng,CJK-A]
㓾	[尸{竖类}冫刂,xī_chí,CJK-A]
㓿	[禾{全字头}氺刂,0,CJK-A]
㔀	[日{享字头}小刂,lüè,CJK-A]
㔁	[癶豆刂,dēng,CJK-A]
㔂	[米夕㐄刂,lín,CJK-A]
㔃	[糹{负字头}巴刀,jué_xuē,CJK-A]
㔄	[覀米刂,sù,CJK-A]
㔅	[肀{乔字底}{北字旁}刂,xiào,CJK-A]
㔆	[旡旡日刂,zàn,CJK-A]
㔇	[癶弓殳刂,0,CJK-A]
㔈	[艹非刂,0,CJK-A]
㔉	[尸{撇类}口刂,zhǔ,CJK-A]
㔊	[亠囗口刂,zhǎn_dǎn,CJK-A]
㔋	[臣{临右角}皿刂,jiān_lán,CJK-A]
㔌	[耳又{撇类}刂,zòu_cǒu,CJK-A]
㔍	[{竹头}目廾刂,chuā_zhá,CJK-A]
㔎	[䶹{撇类}㠯刀,xiè,CJK-A]
㔏	[石石石刂,lì_luǒ,CJK-A]
㔐	[艹{横类}非刂,0,CJK-A]
㔑	[艹{撇类}㠯刀,chì,CJK-A]
㔒	[山隹冂刂,xí,CJK-A]
㔓	[千力,jiǎn,CJK-A]
㔔	[力口{折类},0,CJK-A]
㔕	[气力,jí,CJK-A]
㔖	[力口{折类},0,CJK-A]
㔗	[弗力,fèi_bèi_fú,CJK-A]
㔘	[屮凵力,chù,CJK-A]
㔙	[䒑廾力,bēng,CJK-A]
㔚	[舌力,jié,CJK-A]
㔛	[士口力,0,CJK-A]
㔜	[爫子力,bá,CJK-A]
㔝	[{横类}巾入力,liǎng_liáng,CJK-A]
㔞	[千{北字旁}匕力,kuài,CJK-A]
㔟	[生丸力,0,CJK-A]
㔠	[日勹亾力,xiā_hé,CJK-A]
㔡	[{撇类}囗乂力,biē,CJK-A]
㔢	[糹{负字头}巴力,jué_xuē,CJK-A]
㔣	[田田田力,léi,CJK-A]
㔤	[宀{撇类}米力,xìn,CJK-A]
㔥	[罒厶{青字底}力,bài_pí,CJK-A]
㔦	[{差字头}{捺、点类}{捺、点类}力,yǎng,CJK-A]
㔧	[虍田皿力,lǜ,CJK-A]
㔨	[勹{北字旁}匕{青字底},bèi,CJK-A]
㔩	[勹土厶皿,è,CJK-A]
㔪	[勹{卢字头}{鹵字底},lǔ,CJK-A]
㔫	[{左字框}匕,0,CJK-A]
㔬	[匕日十,0,CJK-A]
㔭	[匕日{定字底},chè,CJK-A]
㔮	[廿口夫匕,nuó,CJK-A]
㔯	[匚几口,xuán_suǎn,CJK-A]
㔰	[匚夕卜,héng,CJK-A]
㔱	[匚臼人,yǔ,CJK-A]
㔲	[匚飠九,0,CJK-A]
㔳	[匚飠几,guǐ,CJK-A]
㔴	[匚田龷八,yì,CJK-A]
㔵	[匚巳巳八,xuǎn,CJK-A]
㔶	[匚音十貝,gòng_gǎn,CJK-A]
㔷	[匚{横类}冂人,lòu,CJK-A]
㔸	[匚{反字框}虎,tī,CJK-A]
㔹	[十力,lè,CJK-A]
㔺	[十十{折类},shì,CJK-A]
㔻	[不十,0,CJK-A]
㔼	[扌隹十,sǔn,CJK-A]
㔽	[{卢字头}囗口,yào,CJK-A]
㔾	[㔾,xiān_jié,CJK-A]
㔿	[{横类}丩,zòu,CJK-A]
㕀	[由㔾,0,CJK-A]
㕁	[乂{左字框}厶卩,què,CJK-A]
㕂	[厂亽{折类},yín_qín,CJK-A]
㕃	[厂{横类}廾,xī,CJK-A]
㕄	[厂{横类}幺,zhǐ,CJK-A]
㕅	[厂甲,jiá,CJK-A]
㕆	[厂古,hù,CJK-A]
㕇	[厂立,lā,CJK-A]
㕈	[厂衣,yǐ,CJK-A]
㕉	[厂亼口,kè,CJK-A]
㕊	[厂甫,fū,CJK-A]
㕋	[厂金,qín,CJK-A]
㕌	[厂日{横类}寸,ài,CJK-A]
㕍	[厂隹,0,CJK-A]
㕎	[厂土厶皿,kè,CJK-A]
㕏	[厂豆斗,chú,CJK-A]
㕐	[厂臼勹灬,xiě_xiè,CJK-A]
㕑	[厂壴寸,chú,CJK-A]
㕒	[厂{美字头}{撇类}戈,wēi,CJK-A]
㕓	[厂黑土,0,CJK-A]
㕔	[厂耳王心,0,CJK-A]
㕕	[厶厶,huàn,CJK-A]
㕖	[厶厶厶木,sù,CJK-A]
㕗	[{美字头}{久二}{捺、点类}厶,yòu,CJK-A]
㕘	[厶厶厶小,0,CJK-A]
㕙	[厶八夂兔,jùn,CJK-A]
㕚	[又{捺、点类}{捺、点类},zhǎo,CJK-A]
㕛	[又又,xù,CJK-A]
㕜	[口{竖类}又,shǐ,CJK-A]
㕝	[古又,0,CJK-A]
㕞	[尸巾又,shuā,CJK-A]
㕟	[{卢字头}{扁字心}又,kuì_kuài,CJK-A]
㕠	[冫隹又,shuāng,CJK-A]
㕡	[{歺变}谷又,hé,CJK-A]
㕢	[{歺变}貝又,gài_hài,CJK-A]
㕣	[八口,yǎn,CJK-A]
㕤	[口九,qiú,CJK-A]
㕥	[口人,shēn,CJK-A]
㕦	[口大,huà,CJK-A]
㕧	[口尸,xī,CJK-A]
㕨	[口几{捺、点类},fàn,CJK-A]
㕩	[口丰,pàng,CJK-A]
㕪	[口冖{见字底},dǎn,CJK-A]
㕫	[口方,fǎng_fēng,CJK-A]
㕬	[口八厶,gōng_sòng,CJK-A]
㕭	[口{撇类}大,āo_ào,CJK-A]
㕮	[口八乂,fǔ,CJK-A]
㕯	[冂人口,nè,CJK-A]
㕰	[口毛,xuè_ma,CJK-A]
㕱	[口尤,yóu,CJK-A]
㕲	[口木,huá_yíng,CJK-A]
㕳	[口乂凵,0,CJK-A]
㕴	[口冖几,chén,CJK-A]
㕵	[口王,guó,CJK-A]
㕶	[口五,ň_ňg,CJK-A]
㕷	[口白,huà_pā,CJK-A]
㕸	[口立,lì,CJK-A]
㕹	[口{左字框}又{捺、点类},fá,CJK-A]
㕺	[吅{横类}{折类},xiāo,CJK-A]
㕻	[{捺、点类}不口,pǒu,CJK-A]
㕼	[口勹乂{折类},0,CJK-A]
㕽	[口{以字旁}人,sì,CJK-A]
㕾	[小口匕,0,CJK-A]
㕿	[禾口,0,CJK-A]
㖀	[口聿,lè,CJK-A]
㖁	[口乂{左字框}厶,lìn,CJK-A]
㖂	[口日{折类}{撇类},yì,CJK-A]
㖃	[口{反字框}{横类}口,hǒu_hòu,CJK-A]
㖄	[口{横三点}川,0,CJK-A]
㖅	[口戊{横类},xù,CJK-A]
㖆	[口曲,qú,CJK-A]
㖇	[口而,ér,CJK-A]
㖈	[老口,0,CJK-A]
㖉	[口{全字头}止,0,CJK-A]
㖊	[口彐寸,xún,CJK-A]
㖋	[{全字头}{乔字底}口匕,0,CJK-A]
㖌	[亻九口匕,0,CJK-A]
㖍	[斗口匕,0,CJK-A]
㖎	[口匕{全字头}{乔字底},0,CJK-A]
㖏	[口日土,niè,CJK-A]
㖐	[吅{聿三}{撇类},wěi,CJK-A]
㖑	[口戈廾,xiè,CJK-A]
㖒	[口丷{弟省},tí,CJK-A]
㖓	[口夂丰,hóng,CJK-A]
㖔	[口{撇类}大口,tǔn,CJK-A]
㖕	[口辛,niè_xīn,CJK-A]
㖖	[辛口,niè,CJK-A]
㖗	[口山亽{折类},yín,CJK-A]
㖘	[口辰,zhēn,CJK-A]
㖙	[力口口匕,0,CJK-A]
㖚	[亻寸口匕,0,CJK-A]
㖛	[古口匕,0,CJK-A]
㖜	[亠口口匕,0,CJK-A]
㖝	[未口匕,0,CJK-A]
㖞	[口口冂人,wāi,CJK-A]
㖟	[口爫冖又,shòu,CJK-A]
㖠	[口大示,nuò,CJK-A]
㖡	[口亠亻{夜下角},yè,CJK-A]
㖢	[口广止匕,qí,CJK-A]
㖣	[口立口,tòu,CJK-A]
㖤	[口{折类}氺凵,hán,CJK-A]
㖥	[口囗禾,jùn,CJK-A]
㖦	[口束{横类},dǒng,CJK-A]
㖧	[口氏日,hūn_wěn,CJK-A]
㖨	[口{录字头}氺,lù,CJK-A]
㖩	[口耳又,jū_sǒu,CJK-A]
㖪	[口戈口{横类},huò_guó_xù,CJK-A]
㖫	[口土八夂,líng,CJK-A]
㖬	[口臼又,0,CJK-A]
㖭	[口{横类}大{恭字底},tiǎn,CJK-A]
㖮	[口侖,lún,CJK-A]
㖯	[冂{横类}口匕,0,CJK-A]
㖰	[口匕冂口,0,CJK-A]
㖱	[亠亻{夜下角}口,0,CJK-A]
㖲	[女口口匕,0,CJK-A]
㖳	[氵女口匕,0,CJK-A]
㖴	[口艹勹{横两撇},0,CJK-A]
㖵	[口{具字头无横}{共字底},gé,CJK-A]
㖶	[口覀土,yān_yè_yīn,CJK-A]
㖷	[口日{定字底},shí_tí,CJK-A]
㖸	[口虍{虐字底},xué_niā,CJK-A]
㖹	[口八刀皿,pēn_fèn,CJK-A]
㖺	[口{寿字头}{捺、点类}日,chǔn,CJK-A]
㖻	[口予{撇类}木,niú_ròu,CJK-A]
㖼	[口甘木,duǒ,CJK-A]
㖽	[口頁,zé,CJK-A]
㖾	[吅䒑䶹,è,CJK-A]
㖿	[口耳阝,xié_yé,CJK-A]
㗀	[口山幺幺,yōu,CJK-A]
㗁	[口吅二{折类},è,CJK-A]
㗂	[口{少三}{撇类}目,shěng,CJK-A]
㗃	[口民日,wěn_hūn,CJK-A]
㗄	[口罒方,kū,CJK-A]
㗅	[口古月,hú,CJK-A]
㗆	[口革,gé,CJK-A]
