Aa	乍
Ae	⺂
Ae	⺃
Ae	⺄
Ae	フ
Ae	レ
Ae	ヿ
Ae	ㄅ
Ae	ㄋ
Ae	ㄑ
Ae	ㄥ
Ae	㇂
Ae	㇅
Ae	㇈
Ae	㇋
Ae	㇎
Ae	㇗
Ae	㇞
Ae	㇢
Ae	乁
Ae	乚
Ae	乛
Ae	𠃌
Ag	戈
Ag	
Ag	
Aj	巾
Ak	勹
Ak	囗
Al	里
Am	麻
Ap	攴
Ap	攵
Aq	犬
Aq	犭
Ar	⽱
Ar	禸
As	三
At	兎
At	兔
At	
At	
Au	乌
Av	魚
Ax	穴
Bb	巴
Bf	甫
Bg	广
Bh	禾
Bi	已
Bj	己
Bs	⺵
Bs	四
Bs	罒
By	酉
Cg	弓
Cl	力
Cq	七
Cq	
Ct	田
Cu	无
Cu	旡
Cy	讠
Da	{龍右}
Dc	齿
Dd	⺈
Dd	
Dh	戶
Dh	户
Dh	戸
Dh	
Di	㇀
Di	一
Dj	見
Dn	乃
Dn	
Ds	石
Dy	幺
Dy	言
Ec	臣
Ec	
Ec	
Eg	鬼
Eg	
Eh	黃
Eh	黄
Ei	㐅
Ei	乂
Ei	
Ej	丩
Ej	句
Ej	
Ej	
Ek	可
El	了
Em	目
Eq	曲
Eq	𡆪
Es	⺪
Es	䑕
Es	疋
Es	鼠
Es	鼡
Es	
Es	
Et	土
Eu	壴
Ey	也
Fb	⺊
Fb	卜
Ff	飞
Fg	甘
Fg	
Fj	及
Fj	
Fl	侖
Fl	龠
Fm	米
Fm	
Fs	尸
Fs	彡
Fs	糸
Fs	糹
Fs	
Fs	𠁣
Fs	
Fs	
Fs	
Fs	𰀪
Fx	象
Fx	
Fy	⺝
Fy	⺼
Fy	円
Fy	月
Fy	
Fy	
Fy	
Fy	
Gb	゛
Gb	冫
Gb	
Gb	髟
Gc	亍
Gc	彳
Gd	豆
Gf	夫
Gf	飛
Gg	⿔
Gg	亀
Gg	冖
Gg	宀
Gg	龜
Gg	龟
Gg	𪚦
Gg	𪚴
Gg	𪛉
Gg	𬹝
Gi	至
Gn	鳥
Gn	
Gs	矢
Gu	烏
Gy	用
Hi	子
Hi	豸
Hj	甲
Hm	皿
Hq	且
Hr	人
Hr	亻
Hs	⻞
Hs	丨
Hs	亅
Hs	豕
Hs	食
Hs	飠
Hs	
Hs	
Hs	
Hs	𧰧
Ia	⺥
Ia	爪
Ia	爫
Ia	
Ia	𫜵
Ib	㡀
Ib	
Ic	長
Ic	镸
Ic	长
Ic	
Id	大
If	風
Il	鹿
Il	
Il	
Iq	气
Is	厶
Is	生
Is	龴
Is	
Iu	⻊
Iu	足
Iv	⺻
Iv	聿
Iv	肀
Iv	
Iv	
Iv	
Iv	𦘒
Ix	⺌
Ix	小
Ix	
Iz	走
Jb	白
Jc	⻍
Jc	辶
Jf	丯
Jf	丰
Jf	龶
Jf	
Jf	
Ji	夂
Jk	⺆
Jk	冂
Jk	凵
Jk	
Jp	丬
Jp	爿
Jp	片
Jp	
Jp	
Jp	
Jp	
Js	士
Ju	⺮
Ju	竹
Ju	
Ju	
Jw	韋
Kc	巛
Kc	巜
Kc	川
Kc	
Kc	
Ke	而
Kg	各
Ki	乙
Ki	𠃉
Kj	见
Kk	〇
Kk	口
Kk	
Kk	
Kk	
Kk	
Kk	
Kk	
Kl	龱
Kl	𱕻
Kl	
Kl	
Kq	囚
Ld	斗
Lf	非
Lf	
Lg	工
Li	止
Li	龰
Li	
Lj	九
Lk	㐄
Lk	
Lk	
Lk	
Lm	⿆
Lo	丸
Ls	⺬
Ls	示
Ls	礻
Ls	𱍐
Lt	亠
Lw	文
Lx	⺗
Lx	心
Lx	忄
Mc	屮
Mc	
Mc	
Mc	
Mf	方
Mi	隹
Ml	六
Mp	辟
Ms	⺍
Ms	ツ
Ms	水
Ms	氵
Ms	氺
Ms	
Ms	
Ms	
Mu	戉
Mu	戊
Mu	
Nb	䒑
Nb	丷
Nb	八
Nb	疒
Nb	癶
Nb	{癶变}
Nb	
Nb	
Nb	
Nb	
Nb	{变}
Nd	〢
Nd	リ
Nd	刀
Nd	刂
Nd	
Nd	
Nd	
Nd	
Nd	
Ne	二
Nh	黑
Nh	黒
Nl	仑
Nm	馬
Nm	
Np	皮
Nq	千
Nq	
Ns	饣
Nu	毋
Nu	毌
Nu	
Nw	亡
Nw	亾
Nw	兦
Oc	寸
Od	㇏
Od	丶
Od	乀
Og	古
Oi	{赢框}
On	鸟
On	
Oq	斉
Oq	齊
Oq	齐
Oq	
Os	手
Os	扌
Os	龵
Os	
Os	
Os	
Os	
Os	
Ov	予
Oy	业
Oy	
Oy	
Oy	
Oy	
Pd	丁
Pg	艮
Pg	
Pj	钅
Px	{双口}
Pm	母
Pn	廿
Pn	龷
Pq	欠
Ps	十
Ps	𠂇
Ps	𬺰
Px	行
Qa	敖
Qc	車
Qg	高
Qg	髙
Qg	
Qg	
Qg	
Qg	
Qi	衣
Qi	衤
Qi	
Qi	
Qi	𧘇
Qj	⺇
Qj	几
Qm	毛
Qm	
Qo	舟
Qs	丗
Qs	卅
Qs	纟
Qs	
Qx	习
Qy	页
Rb	不
Rb	貝
Re	儿
Rg	革
Rh	火
Rh	灬
Rh	
Rh	
Rh	
Rh	
Ri	支
Rl	老
Rl	耂
Rm	丣
Rm	卯
Rm	
Rm	
Rs	殳
Rw	王
Rx	乡
Ry	㸦
Ry	廴
Ry	牙
Sc	辰
Sc	{凬字心}
Sd	歹
Sd	歺
Sd	鬥
Sd	
Sg	瓜
Sh	虍
Sh	虎
Sh	
Sj	斤
Sj	
Sm	門
Sm	马
Sm	𢎘
Ss	尚
Ss	龸
Ss	
St	𠂉
Sv	鱼
Sv	𩵋
Sx	辛
Sx	
Sy	⺶
Sy	⺷
Sy	⺸
Sy	羊
Sy	芈
Sy	
Tc	歯
Tc	齒
Tf	缶
Tf	𦈢
Ti	㠯
Ti	
Tl	耒
Tm	门
Tp	丿
Ts	束
Tw	瓦
Ty	ス
Ty	ㄡ
Ty	又
Uc	⺁
Uc	厂
