Aa	乍
Ae	乚
Ag	戈
Ag	𭠍
Aj	巾
Ak	勹
Ak	囗
Al	里
Am	麻
Ap	攵
Ap	攴
Aq	犬
Aq	犭
Ar	禸
As	三
At	兔
At	𠮥
Au	乌
Av	魚
Ax	穴
Bb	巴
Bf	甫
Bg	广
Bh	禾
Bi	已
Bj	己
Bs	四
Bs	罒
By	酉
Cg	弓
Cl	力
Cq	七
Ct	田
Cu	无
Cu	旡
Cy	讠
Da	{龍右}
Dc	齿
Dc	齒
Dd	⺈
Dh	户
Dh	戶
Di	一
Dj	見
Dl	竜
Dn	乃
Dn	{凸无横}
Ds	石
Dy	幺
Dy	言
Ec	臣
Eg	鬼
Eg	⿁
Eh	黄
Ei	乂
Ej	丩
Ej	句
Ek	可
El	了
Em	目
Eq	曲
Es	疋
Es	鼠
Et	土
Eu	壴
Ey	也
Fb	卜
Ff	飞
Fg	甘
Fj	及
Fl	侖
Fm	米
Fm	𠂭
Fs	糸
Fs	糹
Fs	⼫
Fs	𠃜
Fs	⼺
Fs	𰀪
Fx	象
Fy	月
Gb	⺀
Gb	⼎
Gc	彳
Gc	亍
Gd	豆
Gf	飛
Gf	夫
Gg	龟
Gg	龜
Gg	亀
Gg	⼧
Gg	⼍
Gi	至
Gn	鳥
Gs	矢
Gu	烏
Gy	用
Hi	子
Hi	⾘
Hj	甲
Hm	皿
Hq	且
Hr	人
Hr	亻
Hs	食
Hs	丨
Hs	豕
Ia	爪
Ia	爫
Ib	㡀
Ic	长
Ic	長
Id	大
Il	鹿
Io	{赢框}
Iq	气
Is	厶
Is	生
Is	龴
Iu	⻊
Iu	足
Iv	聿
Iv	肀
Ix	小
Ix	⺌
Iz	走
Jb	白
Jc	辶
Jf	丰
Jf	龶
Ji	夂
Jk	冂
Jk	凵
Jp	片
Jp	爿
Jp	丬
Js	士
Ju	竹
Ju	⺮
Jw	韋
Kc	⼮
Kc	ㄍ
Kc	川
Ke	而
Kg	各
Ki	乙
Kj	见
Kk	口
Kk	{乐无小}
Ld	斗
Lf	非
Lg	工
Li	止
Lj	九
Lk	㐄
Lo	丸
Ls	示
Ls	礻
Lt	亠
Lw	文
Lx	心
Lx	忄
Lx	⺗
Mc	屮
Mf	方
Mi	隹
Ml	六
Mp	辟
Ms	水
Ms	氵
Ms	⺍
Mu	戊
Nb	八
Nb	⽧
Nb	⽨
Nb	䒑
Nb	{其字底}
Nd	刀
Nd	刂
Ne	二
Nh	黑
Nl	仑
Nm	馬
Np	皮
Nq	千
Ns	饣
Nu	毋
Nu	毌
Nw	亡
Nw	亾
Oc	寸
Od	丶
Og	古
On	鸟
Oq	齐
Os	手
Os	扌
Ov	予
Oy	业
Pd	丁
Pg	艮
Pj	钅
Pm	母
Pn	廿
Pn	龷
Pq	欠
Ps	十
Px	行
Px	吅
Qa	敖
Qc	車
Qg	高
Qi	衣
Qi	衤
Qj	几
Qm	毛
Qo	舟
Qs	纟
Qs	卅
Qx	习
Qy	页
Rb	貝
Rb	不
Re	儿
Rg	革
Rh	火
Rh	灬
Rh	{业无横}
Ri	支
Rl	老
Rl	耂
Rm	卯
Rm	丣
Rs	殳
Rw	王
Rx	乡
Ry	牙
Ry	廴
Sc	辰
Sd	歹
Sd	歺
Sd	鬥
Sd	{睿字头}
Sg	瓜
Sh	虎
Sh	⾌
Sh	{虎字头}
Sj	斤
Sm	马
Sm	門
Ss	尚
Ss	龸
Ss	{常字一口}
St	𠂉
Sv	鱼
Sv	𩵋
Sx	辛
Sy	羊
Sy	芈
Tf	缶
Ti	㠯
Tl	耒
Tm	门
Tp	丿
Ts	束
Tw	瓦
Ty	又
Uc	厂
Ug	骨
Ul	卵
Ur	日
Us	山
Uu	五
Ux	西
Ux	覀
Ux	卌
Uy	由
Vb	贝
Vc	虫
Ve	耳
Vi	自
Vj	井
Vk	⼕
Vk	コ
Vl	龙
Vm	民
Vm	黾
Vs	巳
Vu	入
Vw	未
Vx	夕
Vy	尤
Vy	尢
Wb	匕
Wg	光
Wj	金
Wj	卩
Wj	彐
Wn	女
Ws	舌
Wv	羽
Ww	{微框}
Ww	{微框无一}
Wy	音
Wy	頁
Xc	车
Xe	阝
Xf	弗
Xf	𢎨
Xh	亥
Xi	弋
Xi	之
Xl	立
Xm	面
Xn	牛
Xn	⺧
Xs	身
Xv	雨
Yc	册
Yc	冊
Yg	谷
Yj	臼
Ym	木
Yw	韦
Zc	艹
Zc	丌
Zc	廾
Zg	干
Zi	亼
Zi	亽
Zl	两
Zs	氏
Zy	云
