Cg	弓
Ag	戈
Ym	木
Fm	米
Dh	丅
Df	下
Rm	卯
Rm	{卬左}
Rm	{乐上}
Rm	{卯左}
Rm	{齊右}
Mu	戊
Xi	弋
Gb	髟
Xe	阝
Sg	瓜
Xh	亥
Vk	コ
Ty	ス
Is	マ
Ty	又
Nb	癶
Hs	豕
Ds	石
Es	{鼠下}
Ia	爪
Vb	贝
Sm	門
Uc	⺁
Sj	斤
Jp	片
Jp	爿
Os	扌
Ei	乂
Fm	𠂭
Jb	白
Mc	屮
Dh	户
Dh	戸
Al	里
Ej	丩
Mc	丱
Qj	几
Mc	{发上}
Jk	凵
Rs	殳
Hq	且
Jp	丬
Ls	示
Ju	竹
Ju	{⺮右}
St	𠂉
Nd	刀
Ae	乚
Ae	㇉
Ae	𡿨
Qy	页
Rb	不
Da	丂
Is	生
Om	黽
Fn	其
Hr	亻
Us	申
Nw	亡
Ow	{贏頭}
Sv	鱼
Gi	至
Pd	丁
Tf	缶
Di	一
Qc	叀
Qc	車
Qc	{專上}
An	鸟
An	{鸟上}
Ms	水
Au	乌
Oy	业
Iz	足
Kc	巛
Kc	巜
Rg	革
Wy	頁
Kl	鹵
Sm	马
Zk	合
Zk	{龠頭}
Zk	{僉上}
Pq	欠
Js	士
Jg	{穀頭}
Et	土
Rl	耂
Ti	夭
Iz	走
Jk	⺆
Ak	勹
Ic	長
Ic	镸
Vi	自
Tt	𠂤
Jc	辶
Ug	骨
Yj	臼
Lj	九
Eq	曲
Jf	龶
Vu	入
Fs	彡
Fs	{两撇}
Qi	{畏下}
Lx	忄
Sy	羊
Sy	{南下}
Xi	之
Kc	川
Pg	艮
Bb	巴
Gn	鳥
Gn	{鳥上}
Vq	僉
Ms	⺍
Hs	丨
Nd	〢
Nd	〣
Ss	尚
Vs	巳
Ms	氵
Gs	矢
Ss	龸
Ms	{兴上}
Gu	烏
Gu	{烏上}
Gy	用
Up	早
Ic	长
Dy	末
Rw	王
Ns	食
Om	{黽中}
Vw	未
Ta	{爲下}
Ax	穴
Uy	曰
Ur	日
Gb	宀
Hi	子
El	了
Zg	干
Wj	㔾
Wj	卩
Iq	气
Id	大
As	三
Is	厶
Lg	工
Vy	尢
Vy	尤
Hi	豸
Od	丶
Ae	乀
Ke	而
Qg	高
Qg	{襄頭}
Qg	{京頭}
Qg	{亮頭}
Xc	车
Nm	馬
Nm	{馬上}
Pa	世
Lt	亠
Bg	广
Ry	廴
Eu	壴
Dl	正
Uc	厂
Tp	丿
Oc	寸
Ps	{于下}
Vk	匚
Lf	非
Wj	彑
Pm	母
Pm	{母框}
Wj	{互中}
Xn	⺧
Xn	牛
Os	キ
Lk	ヰ
Cy	讠
Fb	卜
Da	{龍右}
Aa	{乍下}
Mf	方
Re	儿
Kc	{荒下}
Bf	甫
Wj	金
Aq	犬
Qs	纟
Xs	身
Qs	{纟上}
Lw	文
Dy	幺
Av	魚
Li	止
Li	龰
Tc	齒
Fg	飛
Tj	壬
Uy	由
Kk	〇
Kk	口
Sc	辰
Ua	电
Nd	刂
If	風
Eg	甶
Eg	鬼
Eg	{卑上}
Eg	{鬼左}
Hj	甲
Jk	冂
Jk	{雋下}
Jk	{冂丶}
Dd	冖
Os	手
Qs	糸
Fs	糹
Os	龵
Dg	{奐上}
Qx	习
Ca	禺
Nb	丷
Nd	リ
Nb	䒑
Nh	黑
Tm	门
Ps	十
Am	麻
Aq	犭
Bw	韋
Uu	{五下}
Ry	牙
Do	{亞中}
Do	{亞下}
Do	{亜下}
Do	𠁁
Qo	舟
Wn	女
Kj	见
Wm	隶
Hr	人
Em	目
Eq	{曹上}
Dr	兀
Ux	襾
Ux	西
Ib	貝
Zc	卄
Zc	卝
Zc	艹
Pn	龷
Oj	見
Xm	面
Qs	卅
Ux	卌
Lz	{華中}
Vd	{冓上}
Sx	辛
Bi	已
Ps	ナ
Ve	耳
Ug	冎
Og	古
Ug	咼
Rh	火
Rh	灬
Ji	夊
Us	山
Wj	彐
Iv	肀
Wj	{反彐}
Ae	丑
Ey	也
Lx	心
Bj	己
Dh	戶
Pj	钅
Il	鹿
Il	{鹿上}
Em	乜
Dn	乃
Jo	𡗗
Nb	八
Nd	{介下}
Vx	夕
Iy	言
Vc	虫
Bh	禾
Ix	小
Zc	丌
Wb	匕
Aj	巾
Ae	乛
Hs	亅
Ae	乁
Ki	乙
Ae	𠄎
Tj	向
Ta	{囟框}
Tj	{向框}
Lr	亦
Qi	衤
Ts	丆
Sh	{虍上}
Sh	虎
Fy	月
Nb	{祭上}
Cl	力
Yl	來
Qm	毛
Cq	七
Tw	瓦
Ov	予
By	酉
Gc	彳
Ww	{微上}
Sm	鬥
Gf	夫
Hd	丄
Fd	上
Ho	{丄丶}
Xl	立
Hm	皿
Np	皮
Ws	舌
Ns	饣
Ak	囗
Bs	罒
Xv	雨
Qi	𧘇
Nb	疒
Gc	亍
Yc	冊
Ec	臣
Gb	⺀
Ne	二
Jf	丰
Nq	千
Fs	尸
Fs	{眉上}
Ct	田
Mi	隹
