々	({负字头}{捺、点类},DdOd,,符號標點)
〇	(口,Kk,líng_yuán_xīng,符號標點)
の	({折类},Ae,no,平假名)
㐀	({竖类}{横类}{卢字头}{横类},HsDiFbDi,qiū,CJK-A)
㐁	({横类}囗人,DiAkHr,tiàn,CJK-A)
㐂	(七七七,CqCqCq,0,CJK-A)
㐃	({折类}{捺、点类}{竖类},AeOdHs,0,CJK-A)
㐄	(㐄,Lk,kuà,CJK-A)
㐅	(㐅,Ei,wǔ,CJK-A)
㐆	(㐆,Xs,yǐn,CJK-A)
㐇	(九乙,LjKi,0,CJK-A)
㐈	(入乙,VuKi,0,CJK-A)
㐉	(丁乙,PdKi,0,CJK-A)
㐊	(士乙,JsKi,0,CJK-A)
㐋	(土乙,EtKi,0,CJK-A)
㐌	({卧人}也,StEy,yí,CJK-A)
㐍	(爫乙,IaKi,0,CJK-A)
㐎	(文乙,LwKi,0,CJK-A)
㐏	(五乙,UuKi,0,CJK-A)
㐐	(女又乙,WnTyKi,0,CJK-A)
㐑	(夂{冬字底}乙,JiGbKi,0,CJK-A)
㐒	(刀口乙,NdKkKi,0,CJK-A)
㐓	(可乙,EkKi,0,CJK-A)
㐔	(亠口乙,LwKkKi,0,CJK-A)
㐕	(由乙,UyKi,0,CJK-A)
㐖	(士口{折类},JsKkAe,xié,CJK-A)
㐗	(老乙,RlKi,0,CJK-A)
㐘	(米乙,FmKi,0,CJK-A)
㐙	(豆乙,GdKi,0,CJK-A)
㐚	(五口乙,UuKkKi,0,CJK-A)
㐛	(亻{左字框}口乙,HrPsKkKi,0,CJK-A)
㐜	({横类}氺{捺、点类}九,DiMsOdLj,chóu,CJK-A)
㐝	(扌句乙,OsEjKi,0,CJK-A)
㐞	({其字头无横}{共字底}乙,FgNbKi,0,CJK-A)
㐟	(非乙,LfKi,0,CJK-A)
㐠	(爫子{折类}乙,IaHiAeKi,0,CJK-A)
㐡	(九而大,LjKeId,nuò,CJK-A)
㐢	(氵爫子乙,MsIaHiKi,0,CJK-A)
㐣	(广車乙,BgQcKi,0,CJK-A)
㐤	(九十{具字头无横}{共字底},LjPsEmNb,dān_qiú,CJK-A)
㐥	(金且力乙,WjHqClKi,0,CJK-A)
㐦	({臼裂}{横类}{折类}乙,YjDiAeKi,0,CJK-A)
㐧	({捺、点类}{折类}{竖类}{撇类},OdAeHsTp,0,CJK-A)
㐨	(予予,OvOv,xù,CJK-A)
㐩	(井井,VjVj,xíng,CJK-A)
㐪	(亠䶹{捺、点类},LwAeOd,0,CJK-A)
㐫	(亠乂凵,LwEiJk,xiōng,CJK-A)
㐬	({充字头}{荒字底},ZyKc,liú,CJK-A)
㐭	(亠囗口,LwAkKk,lǐn,CJK-A)
㐮	(六{寒字腰无横}{横类}{衣省},MlVjDiQi,xiāng,CJK-A)
㐯	(亠口口日,LwKkKkUr,yōng,CJK-A)
㐰	(亻口,HrKk,xìn,CJK-A)
㐱	({全字头}彡,HrFs,zhěn,CJK-A)
㐲	(亻大,HrId,dài,CJK-A)
㐳	(亻{横类}{见字底},HrDiRe,wù,CJK-A)
㐴	(亻夕,HrVx,pān,CJK-A)
㐵	(亻{横类}{于无横},HrDiPs,rú,CJK-A)
㐶	(亻巳,HrVs,0,CJK-A)
㐷	(亻马,HrSm,mǎ,CJK-A)
㐸	(亻欠,HrPq,qiàn_cì,CJK-A)
㐹	(亻气,HrIq,yì,CJK-A)
㐺	(亻亻人,HrHrHr,yín_zhòng,CJK-A)
㐻	(亻冂人,HrJkHr,nèi,CJK-A)
㐼	(亻{撇类}廾,HrTpZc,chèng,CJK-A)
㐽	(亻{风省}乂,HrQjEi,fēng,CJK-A)
㐾	(亻二{见字底},HrNeRe,0,CJK-A)
㐿	(亻手,HrOs,0,CJK-A)
㑀	(亻大{捺、点类},HrIdOd,0,CJK-A)
㑁	(亻屮凵,HrMcJk,zhuō,CJK-A)
㑂	(亻{横类}冂人,HrDiJkHr,fǎng,CJK-A)
㑃	(亻幺力,HrDyCl,ǎo,CJK-A)
㑄	(亻母,HrPm,wǔ,CJK-A)
㑅	(亻{卧人}{卢字头}{横类},HrStFbDi,zuò,CJK-A)
㑆	(亻口儿,HrKkRe,0,CJK-A)
㑇	(亻{负字头}彐,HrDdWj,zhòu,CJK-A)
㑈	(亻{东二}小,HrCqIx,dòng,CJK-A)
㑉	(亻{风省}歹,HrQjSd,sù,CJK-A)
㑊	(亻亠{亦字底},HrLwRh,yì,CJK-A)
㑋	(亻曲,HrEq,qióng,CJK-A)
㑌	(亻匚王,HrVkRw,kuāng_wāng,CJK-A)
㑍	(亻耒,HrTl,lèi,CJK-A)
㑎	(亻巛山,HrKcUs,nǎo,CJK-A)
㑏	(亻宀寸,HrGgOc,zhù,CJK-A)
㑐	(亻{卢字头}{横类}小,HrFbDiIx,shū,CJK-A)
㑑	(亻自,HrVi,0,CJK-A)
㑒	(亼口人,ZiKkHr,0,CJK-A)
㑓	(亻厶{左字框}又,HrIsPsTy,0,CJK-A)
㑔	(亻页,HrQy,xǔ,CJK-A)
㑕	(亻山夕,HrUsVx,0,CJK-A)
㑖	(亻亻口{竖类},HrHrKkHs,0,CJK-A)
㑗	(亻身,HrXs,shēn,CJK-A)
㑘	(亻戈廾,HrAgZc,jiè,CJK-A)
㑙	(亻耳{折类},HrVeAe,dié,CJK-A)
㑚	(亻{折类}{夫三}阝,HrAeOsXe,nuó,CJK-A)
㑛	(亻束,HrTs,sù,CJK-A)
㑜	(亻扌斤,HrOsSj,yì_chì,CJK-A)
㑝	(亻王廾,HrRwZc,lòng,CJK-A)
㑞	(亻火廾,HrRhZc,yìng,CJK-A)
㑟	(亻{丘无横}{共字底},HrSjNb,běng,CJK-A)
㑠	(亻{临字旁}又土,HrNdTyEt,0,CJK-A)
㑡	(亻{即字旁}卩,HrPgWj,0,CJK-A)
㑢	(亻土厶卩,HrEtIsWj,0,CJK-A)
㑣	(亻木木,HrYmYm,lán,CJK-A)
㑤	(亻艹田,HrZcCt,miáo,CJK-A)
㑥	(亻日勹{横两撇},HrUrAkFs,yì,CJK-A)
㑦	(亻户犬,HrDhAq,lì,CJK-A)
㑧	(亻禾子,HrBhHi,jì,CJK-A)
㑨	(亻口矢,HrKkGs,yǔ,CJK-A)
㑩	(亻罒夕,HrBsVx,luó,CJK-A)
㑪	(亻齐二,HrOqNe,chái,CJK-A)
㑫	(亻亽{折类}心,HrZiAeLx,0,CJK-A)
㑬	(亻女古,HrWnOg,0,CJK-A)
㑭	(亻田丌,HrCtZc,0,CJK-A)
㑮	(亻冖車,HrGgQc,hún,CJK-A)
㑯	(亻頁,HrWy,xǔ,CJK-A)
㑰	(亻彑{豕省},HrWjHs,huì,CJK-A)
㑱	(亻予{撇类}木,HrOvTpYm,rǎo,CJK-A)
㑲	(亻十冂{南字心},HrPsJkSy,0,CJK-A)
㑳	(亻勹䶹䶹,HrAkAeAe,zhòu_zhū,CJK-A)
㑴	(亻彐冖又,HrWjGgTy,0,CJK-A)
㑵	(亻疒矢,HrNbGs,hàn,CJK-A)
㑶	(亻气米,HrIqFm,xì,CJK-A)
㑷	(亻厶{青字底}匕,HrIsFyWb,tài,CJK-A)
㑸	(亻古可,HrOgEk,yáo,CJK-A)
㑹	(亼由日,ZiUyUr,huì,CJK-A)
㑺	(亻隹乃,HrMiDn,jùn,CJK-A)
㑻	(亻宀心山,HrGgLxUs,mà,CJK-A)
㑼	(亻田各,HrCtKg,lüè,CJK-A)
㑽	(亻{尚头}土,HrSsEt,táng,CJK-A)
㑾	(亻{然左角}言,HrFyDy,yáo,CJK-A)
㑿	(亻巛田木,HrKcCtYm,zhào,CJK-A)
㒀	(亻{立无横}冂古,HrXlJkOg,zhāi_zhǎ,CJK-A)
㒁	(亻囗土{南字心},HrAkEtSy,yǔ,CJK-A)
㒂	(亻艹耂日,HrZcRlUr,zhuó,CJK-A)
㒃	(亻弋二貝,HrXiNeVb,èr,CJK-A)
㒄	(亻{然左角}犬灬,HrFyAqRh,rǎn,CJK-A)
㒅	(亻{衣框}夕夕,HrQiVxVx,qǐ,CJK-A)
㒆	(亻亼口羽,HrZiKkWv,chì,CJK-A)
㒇	(亻{卧人}卌灬,HrStUxRh,wǔ,CJK-A)
㒈	(亻{折类}耳攵,HrAeVeAp,hàn,CJK-A)
㒉	(亻{尚头}木,HrSsYm,tǎng,CJK-A)
㒊	(亻刀{捺、点类}止,HrNdOdLi,sè,CJK-A)
㒋	(亻{其字头无横}{共字底}斤,HrFgNbSj,sī,CJK-A)
㒌	(亻火火几,HrRhRhQj,qióng,CJK-A)
㒍	(亻厶厶糸,HrIsIsFs,léi,CJK-A)
㒎	(亻{横类}大非,HrDiIdLf,sà,CJK-A)
㒏	(亻宀{寒字腰无横}{冬字底},HrGgVjGb,0,CJK-A)
㒐	(亻{竹头}勹日,HrJuAkUr,0,CJK-A)
㒑	(亻匚氵隹,HrVkMsMi,kuǐ_huì,CJK-A)
㒒	(亻业䒑未,HrOyNbVw,pú,CJK-A)
㒓	(亻土羊辶,HrEtSyJc,tà,CJK-A)
㒔	(亻罒勹虫,HrBsAkVc,shú_dú_tù,CJK-A)
㒕	(亻亠乡隹,HrLwRxMi,yāng,CJK-A)
㒖	(亻艹田{禺下},HrZcCtAr,ǒu,CJK-A)
㒗	(亻{其字头无横}冖至,HrFgGgGi,tái,CJK-A)
㒘	(亻臣又立,HrEcTyXl,0,CJK-A)
㒙	(亻糹白巾,HrFsJbAj,mián,CJK-A)
㒚	(亻爫工心,HrIaLgLx,yìn_wěn,CJK-A)
㒛	(亻羽隹,HrWvMi,diào,CJK-A)
㒜	(亻{臼裂}{横类}八,HrYjDiNb,yǔ,CJK-A)
㒝	(亻艹罒{捺、点类},HrZcBsOd,miè_wà,CJK-A)
㒞	(亻山隹冂,HrUsMiJk,jùn,CJK-A)
㒟	(亻{衣框}馬,HrQiNm,niǎo,CJK-A)
㒠	(亻歺又{横类},HrSdTyDi,xiè,CJK-A)
㒡	(亻爫缶糸,HrIaTfFs,yóu,CJK-A)
㒢	(亻侖口口,HrFlKkKk,0,CJK-A)
㒣	(亻广亻心,HrBgHrLx,0,CJK-A)
㒤	(亻耳耳耳,HrVeVeVe,chè,CJK-A)
㒥	(亻山丰豆,HrUsJfGd,fēng,CJK-A)
㒦	(亻田田土,HrCtCtEt,lěi_lèi,CJK-A)
㒧	(亻亠乂隹,HrLwEiMi,lì,CJK-A)
㒨	(亻{臼裂}{撇类}巳,HrYjTpVs,0,CJK-A)
㒩	(亻彑{豕省}虫,HrWjHsVc,luǒ,CJK-A)
㒪	({全字头}臣臣豕,HrEcEcHs,0,CJK-A)
㒫	(三{竖类}儿,AsHsRe,jì,CJK-A)
㒬	(二{见字底}王,NeReRw,0,CJK-A)
㒭	(口儿口儿,KkReKkRe,0,CJK-A)
㒮	(二{见字底}豕,NeReHs,0,CJK-A)
㒯	(光艹干龷,WgZcZgPn,0,CJK-A)
㒰	(入工,VuLg,quán,CJK-A)
㒱	(入夕,VuVx,0,CJK-A)
㒲	(入日,VuUr,cái,CJK-A)
㒳	(冂{竖类}入入,JkHsVuVu,liǎng,CJK-A)
㒴	(入屮凵,VuMcJk,gǔ,CJK-A)
㒵	(白八,JbNb,mào,CJK-A)
㒶	(八白,NbJb,0,CJK-A)
㒷	({见二}人{横类}八,JkHrDiNb,guǎ,CJK-A)
㒸	(䒑{豕省},NbHs,suì,CJK-A)
㒹	(十{具字头无横}{共字底}{共字底},PsEmNbNb,0,CJK-A)
㒺	(冂䒑亾,JkNbNw,0,CJK-A)
㒻	({冒字头}見,UrDj,mào,CJK-A)
㒼	(廿巾入入,PnAjVuVu,mán,CJK-A)
㒽	({冒字头}丷夫㔾,UrNbGfWj,quān,CJK-A)
㒾	({冒字头}方{卧人}也,UrMfStEy,shì,CJK-A)
㒿	({冒字头}亠乂隹,UrLwEiMi,lí,CJK-A)
㓀	(冖卜,GgFb,0,CJK-A)
㓁	(冖八,GgNb,wǎng,CJK-A)
㓂	(冖二{见字底}女,GgNeReWn,kòu,CJK-A)
㓃	(冖言{撇类}七,GgDyTpCq,dù,CJK-A)
㓄	(厶厶厶{见字底},IsIsIsRe,zhèn,CJK-A)
㓅	(冫丁,GbPd,tīng,CJK-A)
㓆	(冫仑,GbNl,0,CJK-A)
㓇	(冫{撇类}大,GbTpId,0,CJK-A)
㓈	(冫石,GbDs,bìng,CJK-A)
㓉	(冫舌,GbWs,huò,CJK-A)
㓊	(冫冂{横类}口,GbJkDiKk,dòng,CJK-A)
㓋	(冫龷八,GbPnNb,gòng,CJK-A)
㓌	(冫{全字头}王,GbHrRw,chēng,CJK-A)
㓍	(冫{充字头}儿,GbZyRe,0,CJK-A)
㓎	(冫彐冖又,GbWjGgTy,qīn_qìn_qǐn,CJK-A)
㓏	(冫冂八口,GbJkNbKk,jiǒng,CJK-A)
㓐	(冫土八土,GbEtNbEt,lù,CJK-A)
㓑	(冫土{南字心},GbEtSy,xìng,CJK-A)
㓒	(冫七{全字头}{恭字底},GbCqHrLx,0,CJK-A)
㓓	(冫十冂{南字心},GbPsJkSy,nán,CJK-A)
㓔	(冫身寸,GbXsOc,xiè,CJK-A)
㓕	(冫戊{横类}火,GbMuDiRh,0,CJK-A)
㓖	(冫日龷十,GbUrPnPs,bì,CJK-A)
㓗	(冫丰刀糸,GbJfNdFs,jié,CJK-A)
㓘	({风省}歹王{捺、点类},QjSdRwOd,sù,CJK-A)
㓙	(文凵,LwJk,0,CJK-A)
㓚	(工刂,LgNd,gōng,CJK-A)
㓛	(工刀,LgNd,0,CJK-A)
㓜	(幺刀,DyNd,yòu,CJK-A)
㓝	(井刂,VjNd,xíng,CJK-A)
㓞	(丰刀,JfNd,qià,CJK-A)
㓟	(皮刂,NpNd,pí,CJK-A)
㓠	({卢字头}口刂,FbKkNd,diàn_diǎn,CJK-A)
㓡	(缶刂,TfNd,fǔ_guā,CJK-A)
㓢	(各刂,KgNd,luò,CJK-A)
㓣	(亼口刂,ZiKkNd,qià_gē,CJK-A)
㓤	(士口刂,JsKkNd,qià,CJK-A)
㓥	({尚字头}彐刂,IxWjNd,tāng,CJK-A)
㓦	({横类}白刂,DiJbNd,bāi,CJK-A)
㓧	(亽{折类}口刂,ZiAeKkNd,gān,CJK-A)
㓨	(大人人刂,IdHrHrNd,cí,CJK-A)
㓩	({负字头}用刂,DdGyNd,xuān_jiē,CJK-A)
㓪	({捺、点类}{即字旁}刀,OdPgNd,lǎng,CJK-A)
㓫	(大{横类}廾刂,IdDiZcNd,0,CJK-A)
㓬	(丷夫刀刂,NbGfNdNd,0,CJK-A)
㓭	(日勹亾刂,UrAkNwNd,shé,CJK-A)
㓮	({周字框}土口刂,JkEtKkNd,diāo,CJK-A)
㓯	(巛田刂,KcCtNd,lí,CJK-A)
