丶丶,OdOd	⺀
⺁,Uc	⺁
⺂,Ae	⺂
⺃,Ae	⺃
⺄,Ae	⺄
亻,Hr	⺅
⺆,Jk	⺆
⺇,Qj	⺇
⺈,Dd	⺈
刂,Nd	⺉
⺊,Fb	⺊
⺋,Wj	⺋
⺌,Ix	⺌
⺍,Ms	⺍
一儿,DiRe	⺎
八儿,NbRe	⺏
尢,Vy	⺐
八几,NbQj	⺑
巳,Vs	⺒
幺,Dy	⺓
彑,Wj	⺔
⺕,Wj	⺕
忄,Lx	⺖
⺗,Lx	⺗
扌,Os	⺘
攵,Ap	⺙
旡,Cu	⺛
⺜,Ur	⺜
⺝,Fy	⺝
歺,Sd	⺞
母,Pm	⺟
民,Vm	⺠
氵,Ms	⺡
氺,Ms	⺢
灬,Rh	⺣
爫,Ia	⺤
⺥,Ia	⺥
丬,Jp	⺦
𠂒,Xn	⺧
犭,Aq	⺨
王,Rw	⺩
⺪,Es	⺪
罒,Bs	⺫
⺬,Ls	⺬
礻,Ls	⺭
⺮,Ju	⺮
糹,Fs	⺯
纟,Qs	⺰
冂乂,JkEi	⺱
罒,Bs	⺲
冖八,GgNb	⺳
冖儿,GgRe	⺴
⺵,Bs	⺵
⺶,Sy	⺶
⺷,Sy	⺷
⺸,Sy	⺸
耂,Rl	⺹
肀,Iv	⺺
⺻,Iv	⺻
⺼,Fy	⺼
⺽,Yj	⺽
⺿,Zc	⺾
⺿,Zc	⺿
卝,Zc	⻀
虎,Sh	⻁
衤,Qi	⻂
覀,Ux	⻃
西,Ux	⻄
见,Kj	⻅
⺈用,DdGy	⻆
⺈用,DdGy	⻇
讠,Cy	⻈
贝,Vb	⻉
⻊,Iu	⻊
车,Xc	⻋
辶,Jc	⻌
⻍,Jc	⻍
辶,Jc	⻎
阝,Xe	⻏
钅,Pj	⻐
長,Ic	⻑
镸,Ic	⻒
长,Ic	⻓
门,Tm	⻔
丿㠯,TpTi	⻕
阝,Xe	⻖
⻗,Xv	⻗
龶⺝,JfFy	⻘
韦,Yw	⻙
页,Qy	⻚
几乂,QjEi	⻛
飞,Ff	⻜
食,Hs	⻝
⻞,Hs	⻞
飠,Hs	⻟
饣,Ns	⻠
巛一自,KcDiVi	⻡
马,Sm	⻢
骨,Ug	⻣
鬼,Eg	⻤
鱼,Sv	⻥
鸟,On	⻦
⺊龱,FbKl	⻧
龶夂,JfJi	⻨
黄,Eh	⻩
黾,Um	⻪
斉,Oq	⻫
齐,Oq	⻬
歯,Tc	⻭
齿,Dc	⻮
竜,Vl	⻯
龙,Vl	⻰
龜,Gg	⻱
亀,Gg	⻲
龟,Gg	⻳
一,Di	⼀
丨,Hs	⼁
丶,Od	⼂
丿,Tp	⼃
乙,Ki	⼄
亅,Hs	⼅
二,Ne	⼆
亠,Lt	⼇
人,Hr	⼈
儿,Re	⼉
入,Vu	⼊
,Nb	⼋
冂,Jk	⼌
冖,Gg	⼍
冫,Gb	⼎
几,Qj	⼏
凵,Jk	⼐
刀,Nd	⼑
力,Cl	⼒
勹,Ak	⼓
匕,Wb	⼔
匚,Vk	⼕
匚,Vk	⼖
十,Ps	⼗
卜,Fb	⼘
卩,Wj	⼙
厂,Uc	⼚
厶,Is	⼛
又,Ty	⼜
口,Kk	⼝
囗,Ak	⼞
土,Et	⼟
士,Js	⼠
夂,Ji	⼡
夂,Ji	⼢
夕,Vx	⼣
大,Id	⼤
女,Wn	⼥
子,Hi	⼦
宀,Gg	⼧
寸,Oc	⼨
小,Ix	⼩
𠂇㇈,PsAe	⼪
尸,Fs	⼫
屮,Mc	⼬
山,Us	⼭
巛,Kc	⼮
工,Lg	⼯
己,Bj	⼰
巾,Aj	⼱
干,Zg	⼲
幺,Dy	⼳
广,Bg	⼴
廴,Ry	⼵
廾,Zc	⼶
弋,Xi	⼷
弓,Cg	⼸
彐,Wj	⼹
彡,Fs	⼺
彳,Gc	⼻
心,Lx	⼼
戈,Ag	⼽
戶,Dh	⼾
手,Os	⼿
支,Ri	⽀
攴,Ap	⽁
文,Lw	⽂
斗,Ld	⽃
斤,Sj	⽄
方,Mf	⽅
无,Cu	⽆
日,Ur	⽇
曰,Uy	⽈
月,Fy	⽉
木,Ym	⽊
欠,Pq	⽋
止,Li	⽌
歹,Sd	⽍
殳,Rs	⽎
毌,Nu	⽏
匕,WbWb	⽐
毛,Qm	⽑
氏,Zs	⽒
气,Iq	⽓
水,Ms	⽔
火,Rh	⽕
爪,Ia	⽖
八乂,NbEi	⽗
乂乂,EiEi	⽘
爿,Jp	⽙
片,Jp	⽚
牙,Ry	⽛
牛,Xn	⽜
犬,Aq	⽝
亠幺,LtDy	⽞
王丶,RwOd	⽟
瓜,Sg	⽠
瓦,Tw	⽡
甘,Fg	⽢
生,Is	⽣
用,Gy	⽤
田,Ct	⽥
疋,Es	⽦
疒,Nb	⽧
癶,Nb	⽨
白,Jb	⽩
皮,Np	⽪
皿,Hm	⽫
目,Em	⽬
予丿,OvTp	⽭
矢,Gs	⽮
石,Ds	⽯
示,Ls	⽰
⽱,Ar	⽱
禾,Bh	⽲
穴,Ax	⽳
立,Xl	⽴
竹,Ju	⽵
米,Fm	⽶
糸,Fs	⽷
缶,Tf	⽸
冂乂乂,JkEiEi	⽹
羊,Sy	⽺
羽,Wv	⽻
老,Rl	⽼
而,Ke	⽽
⽾,Tl	⽾
耳,Ve	⽿
聿,Iv	⾀
冂人人,JkHrHr	⾁
臣,Ec	⾂
自,Vi	⾃
至,Gi	⾄
⺽,Yj	⾅
舌,Ws	⾆
夕㐄,VxLk	⾇
舟,Qo	⾈
艮,Pg	⾉
⺈巴,DdBb	⾊
艸,Zc	⾋
虍,Sh	⾌
虫,Vc	⾍
丿皿,TpHm	⾎
行,Px	⾏
衣,Qi	⾐
襾,Ux	⾑
見,Dj	⾒
⺈用,DdGy	⾓
言,Dy	⾔
谷,Yg	⾕
豆,Gd	⾖
豕,Hs	⾗
豸,Hi	⾘
貝,Rb	⾙
土,EtRh	⾚
走,Iz	⾛
足,Iu	⾜
身,Xs	⾝
車,Qc	⾞
辛,Sx	⾟
辰,Sc	⾠
彡龰,FsLi	⾡
口巴,KkBb	⾢
酉,By	⾣
丿米,TpFm	⾤
里,Al	⾥
金,Wj	⾦
長,Ic	⾧
門,Sm	⾨
丿㠯十,TpTiPs	⾩
氺,WjMs	⾪
隹,Mi	⾫
雨,Xv	⾬
龶円,JfFy	⾭
,Lf	⾮
面,Xm	⾯
革,Rg	⾰
韋,Jw	⾱
非一,LfDi	⾲
音,Wy	⾳
頁,Wy	⾴
風,If	⾵
飛,Gf	⾶
食,Hs	⾷
䒑自,NbVi	⾸
禾日,BhUr	⾹
馬,Nm	⾺
⾻,Ug	⾻
高,Qg	⾼
髟,Gb	⾽
鬥,Sd	⾾
凵匕,FmJkWb	⾿
鬲,Ug	⿀
鬼,Eg	⿁
魚,Av	⿂
鳥,Gn	⿃
⺊龱,FbKl	⿄
鹿,Il	⿅
⿆,Lm	⿆
麻,Am	⿇
黃,Eh	⿈
禾人氺,BhHrMs	⿉
黑,Nh	⿊
业㡀,OyIb	⿋
黽,Um	⿌
目,EmJpJp	⿍
壴支,EuRi	⿎
鼠,Es	⿏
自田丌,ViCtZc	⿐
齊,Oq	⿑
齒,Tc	⿒
立⺝{龍右},XlFyDa	⿓
⿔,Gg	⿔
侖口{双口},FlKkPx	⿕
〇,Kk	〇
一,Di	㇀
㇢,Ae	㇁
レ,Ae	㇂
レ,Ae	㇃
乚,Ae	㇄
㇅,Ae	㇅
𠃌,Ae	㇆
フ,Ae	㇇
㇈,Ae	㇈
ㄅ,Ae	㇉
㇅,Ae	㇊
ㄋ,Ae	㇋
ㄋ,Ae	㇌
㇅,Ae	㇍
㇎,Ae	㇎
丶,Od	㇏
一,Di	㇐
丨,Hs	㇑
丿,Tp	㇒
丿,Tp	㇓
丶,Od	㇔
ヿ,Ae	㇕
乛,Ae	㇖
㇗,Ae	㇗
丨一,HsDi	㇘
レ,Ae	㇙
丨,Hs	㇚
ㄑ,Ae	㇛
ㄥ,Ae	㇜
丶,Od	㇝
㇞,Ae	㇞
乚,Ae	㇟
乙,Ki	㇠
ㄋ,Ae	㇡
㇢,Ae	㇢
〇,Kk	㇣
⺄,Ae	㇤
ㄅ,Ae	㇥
干丷戊乛,ZgNbMuAe	㍻
日刀禾口,UrNdBhKk	㍼
大一止,IdDiLi	㍽
日月氵厶,UrFyMsIs	㍾
木丿未人云弋工礻土,YmTpVwEt	㍿
卝一,ZcDi	㐀
一囗人,DiAkHr	㐁
七七七,CqCqCq	㐂
丨,KkHs	㐃
㐄,Lk	㐄
乂,Ei	㐅
⺁彐𠃌,UcWjAe	㐆
九乙,LjKi	㐇
入乙,VuKi	㐈
丁乙,PdKi	㐉
士乙,JsKi	㐊
土乙,EtKi	㐋
𠂉也,StEy	㐌
爫乙,IaKi	㐍
文乙,LwKi	㐎
五乙,UuKi	㐏
女又乙,WnTyKi	㐐
夂゛乙,JiGbKi	㐑
刀口乙,NdKkKi	㐒
可乙,EkKi	㐓
乙,QgKi	㐔
由乙,UyKi	㐕
士口乚,JsKkAe	㐖
老乙,RlKi	㐗
米乙,FmKi	㐘
豆乙,GdKi	㐙
五口乙,UuKkKi	㐚
亻𠂇口乙,HrPsKkKi	㐛
一氺丶九,DiMsOdLj	㐜
扌句乙,OsEjKi	㐝
乙,FgNbKi	㐞
非乙,LfKi	㐟
爫子乚乙,IaHiAeKi	㐠
九而大,LjKeId	㐡
氵爫子乙,MsIaHiKi	㐢
广車乙,BgQcKi	㐣
九十目,LjPsEmNb	㐤
金且力乙,WjHqClKi	㐥
一ㄅ丨手乙,YjDiAeKi	㐦
丶𬺰丿,OdPsTp	㐧
予予,OvOv	㐨
井井,VjVj	㐩
亠山人,LtUsHr	㐪
亠㐅凵,LtEiJk	㐫
,ZyKc	㐬
亠囗口,LtAkKk	㐭
衣八井一,QiNbVjDi	㐮
口禾日,QgKkBhUr	㐯
亻口,HrKk	㐰
人彡,HrFs	㐱
亻大,HrId	㐲
亻一儿,HrDiRe	㐳
亻夕,HrVx	㐴
亻一𬺰,HrDiPs	㐵
亻巳,HrVs	㐶
亻马,HrSm	㐷
亻欠,HrPq	㐸
亻气,HrIq	㐹
亻亻人,HrHrHr	㐺
亻冂人,HrJkHr	㐻
亻丿廾,HrTpZc	㐼
亻几乂,HrQjEi	㐽
亻二儿,HrNeRe	㐾
亻手,HrOs	㐿
亻大丶,HrIdOd	㑀
亻屮凵,HrMcJk	㑁
亻一冂人,HrDiJkHr	㑂
亻幺力,HrDyCl	㑃
亻母,HrPm	㑄
亻𠂉⺊一,HrStFbDi	㑅
